source,source_name,target,target_name,troncal,id_trazado,weight_distance_m,tipo_via
624,Estacion_0,625,Estacion_1,Autopista Norte,TZ002,0.0,1
625,Estacion_1,624,Estacion_0,Autopista Norte,TZ002,0.0,1
625,Estacion_1,635,Estacion_11,Autopista Norte,TZ002,0.0,1
635,Estacion_11,625,Estacion_1,Autopista Norte,TZ002,0.0,1
635,Estacion_11,632,Estacion_8,Autopista Norte,TZ002,0.0,1
632,Estacion_8,635,Estacion_11,Autopista Norte,TZ002,0.0,1
632,Estacion_8,636,Estacion_12,Autopista Norte,TZ002,0.0,1
636,Estacion_12,632,Estacion_8,Autopista Norte,TZ002,0.0,1
636,Estacion_12,639,Estacion_15,Autopista Norte,TZ002,0.0,1
639,Estacion_15,636,Estacion_12,Autopista Norte,TZ002,0.0,1
639,Estacion_15,654,Estacion_30,Autopis|ta Norte,TZ002,0.0,1
654,Estacion_30,639,Estacion_15,Autopista Norte,TZ002,0.0,1
654,Estacion_30,645,Estacion_21,Autopista Norte,TZ002,0.0,1
645,Estacion_21,654,Estacion_30,Autopista Norte,TZ002,0.0,1
645,Estacion_21,655,Estacion_31,Autopista Norte,TZ002,0.0,1
655,Estacion_31,645,Estacion_21,Autopista Norte,TZ002,0.0,1
655,Estacion_31,651,Estacion_27,Autopista Norte,TZ002,0.0,1
651,Estacion_27,655,Estacion_31,Autopista Norte,TZ002,0.0,1
651,Estacion_27,649,Estacion_25,Autopista Norte,TZ002,0.0,1
649,Estacion_25,651,Estacion_27,Autopista Norte,TZ002,0.0,1
649,Estacion_25,652,Estacion_28,Autopista Norte,TZ002,0.0,1
652,Estacion_28,649,Estacion_25,Autopista Norte,TZ002,0.0,1
652,Estacion_28,660,Estacion_36,Autopista Norte,TZ002,0.0,1
660,Estacion_36,652,Estacion_28,Autopista Norte,TZ002,0.0,1
660,Estacion_36,661,Estacion_37,Autopista Norte,TZ002,0.0,1
661,Estacion_37,660,Estacion_36,Autopista Norte,TZ002,0.0,1
661,Estacion_37,663,Estacion_39,Autopista Norte,TZ002,0.0,1
663,Estacion_39,661,Estacion_37,Autopista Norte,TZ002,0.0,1
663,Estacion_39,657,Estacion_33,Autopista Norte,TZ002,0.0,1
657,Estacion_33,663,Estacion_39,Autopista Norte,TZ002,0.0,1
657,Estacion_33,723,Estacion_99,Autopista Norte,TZ002,0.0,1
723,Estacion_99,657,Estacion_33,Autopista Norte,TZ002,0.0,1
723,Estacion_99,725,Estacion_101,Autopista Norte,TZ002,0.0,1
725,Estacion_101,723,Estacion_99,Autopista Norte,TZ002,0.0,1
725,Estacion_101,726,Estacion_102,Autopista Norte,TZ002,0.0,1
726,Estacion_102,725,Estacion_101,Autopista Norte,TZ002,0.0,1
726,Estacion_102,707,Estacion_83,Autopista Norte,TZ002,0.0,1
707,Estacion_83,726,Estacion_102,Autopista Norte,TZ002,0.0,1
707,Estacion_83,746,Estacion_122,Autopista Norte,TZ002,0.0,1
746,Estacion_122,707,Estacion_83,Autopista Norte,TZ002,0.0,1
746,Estacion_122,742,Estacion_118,Autopista Norte,TZ002,0.0,1
742,Estacion_118,746,Estacion_122,Autopista Norte,TZ002,0.0,1
742,Estacion_118,737,Estacion_113,Autopista Norte,TZ002,0.0,1
737,Estacion_113,742,Estacion_118,Autopista Norte,TZ002,0.0,1
737,Estacion_113,736,Estacion_112,Autopista Norte,TZ002,0.0,1
736,Estacion_112,737,Estacion_113,Autopista Norte,TZ002,0.0,1
736,Estacion_112,705,Estacion_81,Autopista Norte,TZ002,0.0,1
705,Estacion_81,736,Estacion_112,Autopista Norte,TZ002,0.0,1
705,Estacion_81,697,Estacion_73,Autopista Norte,TZ002,0.0,1
697,Estacion_73,705,Estacion_81,Autopista Norte,TZ002,0.0,1
697,Estacion_73,696,Estacion_72,Autopista Norte,TZ002,0.0,1
696,Estacion_72,697,Estacion_73,Autopista Norte,TZ002,0.0,1
696,Estacion_72,689,Estacion_65,Autopista Norte,TZ002,0.0,1
689,Estacion_65,696,Estacion_72,Autopista Norte,TZ002,0.0,1
689,Estacion_65,770,Estacion_146,Autopista Norte,TZ002,0.0,1
