Intervalo,Nombre_Estacion,Demanda_Real,Demanda_Predicha
1:00,AV. Chile,0.0,6.7094064
1:00,CAN,0.0,7.065061
1:00,Campín - UAN,2.0,8.13074
1:00,San Diego,0.0,-0.19711494
1:00,Granja - Kr 77,0.0,0.26910257
1:00,Ricaurte - NQS,0.0,3.0549765
1:00,Quirigua,0.0,5.6987953
1:00,Suba - Calle 100,0.0,2.2896485
1:00,Calle 75 - Zona M,0.0,4.8261423
1:00,AV. Boyacá,0.0,-0.44988012
1:00,Calle 40 Sur,0.0,2.9802976
1:00,AV. Américas - AV. Boyacá,0.0,4.9521146
1:00,Marsella,0.0,0.60708237
1:00,Niza - Calle 127,0.0,5.3308363
1:00,La Campiña,0.0,0.3215599
1:00,Transversal 86,0.0,1.0289373
1:00,Corferias,0.0,6.22053
1:00,Guatoque - Veraguas,0.0,0.9315057
1:00,CDS - Carrera 32,0.0,2.9860659
1:00,Ciudad Universitaria - Lotería de Bogotá,0.0,0.63839674
1:00,Universidad Nacional,0.0,0.8884244
1:00,Avenida Rojas - UNISALESIANA,0.0,-1.2791648
1:00,Tercer Milenio,0.0,2.0017567
1:00,Concejo de Bogotá,0.0,0.70298386
1:00,NQS - Calle 38A S,0.0,1.7031136
1:00,7 de Agosto,0.0,4.905173
1:00,AV. 68,0.0,0.28331947
1:00,Distrito Grafiti,0.0,5.7440906
1:00,Polo - FINCOMERCIO,0.0,1.1092672
1:00,Tygua - San José,0.0,1.3442779
1:00,Quinta Paredes,0.0,1.3048329
1:00,Salitre - El Greco,0.0,6.874725
1:00,Zona Industrial,0.0,0.20308113
1:00,León XIII,0.0,3.2590284
1:00,Paloquemao,0.0,-0.23579073
1:00,Carrera 90,0.0,-0.48236609
1:00,Gobernación,0.0,0.34529257
1:00,Terreros - Hospital Cardio Vascular,0.0,0.28158617
1:00,Escuela Militar,0.0,0.61383533
1:00,Mandalay,0.0,1.0047784
1:00,AV. Cali,0.0,0.44587183
1:00,Suba - TV. 91,0.0,1.0453434
1:00,Ricaurte - CL 13,0.0,0.9731412
1:00,Restrepo,0.0,1.1442285
1:00,Prado,0.0,0.4331007
1:00,Terminal,0.0,5.96607
1:00,Virrey,0.0,1.0926666
1:00,Toberin - Foundever,0.0,2.7192993
1:00,Pepe Sierra,0.0,1.1838264
1:00,Calle 100 - Marketmedios,0.0,0.89875937
1:00,Calle 142,0.0,5.9848924
1:00,Portal Norte – Unicervantes,0.0,1.8912406
1:00,Calle 187,0.0,2.1556659
1:00,Alcalá – Colegio S. Tomás Dominicos,0.0,0.54511404
1:00,Calle 146,0.0,0.2770815
1:00,Calle 127,0.0,2.1492348
1:00,Héroes,0.0,2.8418179
1:00,Calle 161,0.0,1.8124137
1:00,Calle 106 - Maletas Explora,0.0,1.3446431
1:00,Mazurén,0.0,0.60418415
1:00,Calle 45 - American School Way,0.0,0.96311665
1:00,Carrera 53,0.0,1.8830104
